rank_seen,full_name,stargazers_count,clone_url,html_url,language,description,cmake_indicator
1981,p-ranav/criterion,228,https://github.com/p-ranav/criterion.git,https://github.com/p-ranav/criterion,cpp,Microbenchmarking for Modern cpp,targets
1984,p-ranav/binary_log,228,https://github.com/p-ranav/binary_log.git,https://github.com/p-ranav/binary_log,cpp,Fast binary logger for cpp,targets
2032,TheWisp/signals,227,https://github.com/TheWisp/signals.git,https://github.com/TheWisp/signals,cpp,"General purpose modern cpp Signal-Slot providing ease of use, flexibility and extremely high performance aiming to replace traditional interfaces in real-time applications",targets
2046,greg7mdp/gtl,226,https://github.com/greg7mdp/gtl.git,https://github.com/greg7mdp/gtl,cpp,Greg's Template Library of useful classes.,targets
2048,mpromonet/libv4l2cpp,226,https://github.com/mpromonet/libv4l2cpp.git,https://github.com/mpromonet/libv4l2cpp,cpp,V4L2 cpp wrapper,targets
2063,iboB/picobench,226,https://github.com/iboB/picobench.git,https://github.com/iboB/picobench,cpp,A micro microbenchmarking library for cpp11 in a single header file,targets
2067,halfgaar/FlashMQ,226,https://github.com/halfgaar/FlashMQ.git,https://github.com/halfgaar/FlashMQ,cpp,"FlashMQ is a fast light-weight MQTT broker/server, designed to take good advantage of multi-CPU environments",targets
2083,crvs/KDTree,225,https://github.com/crvs/KDTree.git,https://github.com/crvs/KDTree,cpp,Simple cpp KD-Tree implementation,targets
2139,CHollingworth/Lampray,221,https://github.com/CHollingworth/Lampray.git,https://github.com/CHollingworth/Lampray,cpp,Linux Application Modding Platform. A native Linux mod manager.,targets
2162,david-cortes/isotree,221,https://github.com/david-cortes/isotree.git,https://github.com/david-cortes/isotree,cpp,"(Python, R, C/cpp) Isolation Forest and variations such as SCiForest and EIF, with some additions (outlier detection + similarity + NA imputation)",targets
2212,yyccR/Location,215,https://github.com/yyccR/Location.git,https://github.com/yyccR/Location,cpp,"Smartphone navigation positionning, fusion GPS and IMU sensors.",targets
2230,CrushedPixel/Polyline2D,214,https://github.com/CrushedPixel/Polyline2D.git,https://github.com/CrushedPixel/Polyline2D,cpp,A header-only library to generate meshes for a solid path. Useful to render thick lines using OpenGL.,targets
2249,SSBMTonberry/tileson,214,https://github.com/SSBMTonberry/tileson.git,https://github.com/SSBMTonberry/tileson,cpp,"A modern and helpful cross-platform json-parser for cpp, used for parsing Tiled maps.",targets
2294,PfAndrey/supermariohd,213,https://github.com/PfAndrey/supermariohd.git,https://github.com/PfAndrey/supermariohd,cpp,"Cross-platform HD remake of Super Mario Bros (NES, 1985) with original game mechanics",targets
2303,Wohlstand/libADLMIDI,206,https://github.com/Wohlstand/libADLMIDI.git,https://github.com/Wohlstand/libADLMIDI,cpp,A Software MIDI Synthesizer library with OPL3 (YMF262) emulator,targets
2309,rollbear/dry-comparisons,206,https://github.com/rollbear/dry-comparisons.git,https://github.com/rollbear/dry-comparisons,cpp,cpp17 Utility classes for comparing multiple values in one simple expression,targets
2321,ufz/tetgen,205,https://github.com/ufz/tetgen.git,https://github.com/ufz/tetgen,cpp,"This is a clone of ""A Quality Tetrahedral Mesh Generator and a 3D Delaunay Triangulator"" tetgen; Official website:",targets
2338,crashoz/uuid_v4,205,https://github.com/crashoz/uuid_v4.git,https://github.com/crashoz/uuid_v4,cpp,Super fast cpp library to generate and parse UUIDv4,targets
2344,springer13/hptt,205,https://github.com/springer13/hptt.git,https://github.com/springer13/hptt,cpp,High-Performance Tensor Transpose library,targets
2367,skyzh/RISCV-Simulator,205,https://github.com/skyzh/RISCV-Simulator.git,https://github.com/skyzh/RISCV-Simulator,cpp,💻 RISC-V Simulator of RV32I ISA. 5-stage pipeline / out-of-order execution with Tomasulo algorithm and Speculation. Support runtime visualization. Project report available.,targets
2369,bnoordhuis/v8-cmake,205,https://github.com/bnoordhuis/v8-cmake.git,https://github.com/bnoordhuis/v8-cmake,cpp,"The V8 JavaScript engine, but built with CMake instead of GN - WIP",targets
2380,kerukuro/digestpp,204,https://github.com/kerukuro/digestpp.git,https://github.com/kerukuro/digestpp,cpp,cpp11 header-only message digest library,targets
2396,pettni/smooth,204,https://github.com/pettni/smooth.git,https://github.com/pettni/smooth,cpp,Lie theory for robotics,targets
2429,taocpp/config,195,https://github.com/taocpp/config.git,https://github.com/taocpp/config,cpp,cpp header-only config reader library based on JSON,targets
2441,ricab/scope_guard,195,https://github.com/ricab/scope_guard.git,https://github.com/ricab/scope_guard,cpp,A modern cpp scope guard that is easy to use but hard to misuse.,targets
